name,screen_name,followers_count,entities,verified,default_profile_image,is_translator,id_str,profile_image_url_https,protected,follow_request_sent,profile_use_background_image,profile_background_color,geo_enabled,description,profile_sidebar_border_color,profile_text_color,muting,profile_background_image_url_https,favourites_count,url,is_translation_enabled,created_at,profile_background_tile,blocking,has_extended_profile,friends_count,notifications,location,lang,id,time_zone,statuses_count,default_profile,translator_type,blocked_by,listed_count,status,profile_link_color,contributors_enabled,utc_offset,profile_sidebar_fill_color,profile_background_image_url,following,profile_image_url,profile_banner_url
Sam Harris,SamHarrisOrg,"1,458,747","{'url': {'urls': [{'url': 'https://t.co/Wc8q0FHn8A', 'expanded_url': 'http://www.samharris.org', 'display_url': 'samharris.org', 'indices': [0, 23]}]}, 'description': {'urls': []}}",TRUE,FALSE,FALSE,116994659,https://pbs.twimg.com/profile_images/1258982988781506561/hz5gbQYa_normal.jpg,FALSE,,TRUE,CBE7FA,FALSE,"Author of The End of Faith, FreeWill, and other bestselling books; host of the Making Sense podcast; and creator of the Waking Up app (@wakingup).",FFFFFF,333333,,https://abs.twimg.com/images/themes/theme1/bg.png,2998,https://t.co/Wc8q0FHn8A,FALSE,Wed Feb 24 06:05:40 +0000 2010,FALSE,,FALSE,550,,,,116994659,,9449,FALSE,none,,11047,"{'created_at': 'Fri Jan 15 07:18:03 +0000 2021', 'id': 1349979139994906624, 'id_str': '1349979139994906624', 'text': 'RT @anneapplebaum: Important thread from a Republican who recognizes reality https://t.co/cQ3kwzXiJy', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'anneapplebaum', 'name': 'Anne Applebaum', 'id': 297100174, 'id_str': '297100174', 'indices': [3, 17]}], 'urls': [{'url': 'https://t.co/cQ3kwzXiJy', 'expanded_url': 'https://twitter.com/HerreraBeutler/status/1349959275922206721', 'display_url': 'twitter.com/HerreraBeutler…', 'indices': [77, 100]}]}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Fri Jan 15 07:01:15 +0000 2021', 'id': 1349974913273262082, 'id_str': '1349974913273262082', 'text': 'Important thread from a Republican who recognizes reality https://t.co/cQ3kwzXiJy', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cQ3kwzXiJy', 'expanded_url': 'https://twitter.com/HerreraBeutler/status/1349959275922206721', 'display_url': 'twitter.com/HerreraBeutler…', 'indices': [58, 81]}]}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': True, 'quoted_status_id': 1349959275922206721, 'quoted_status_id_str': '1349959275922206721', 'retweet_count': 204, 'favorite_count': 843, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': True, 'quoted_status_id': 1349959275922206721, 'quoted_status_id_str': '1349959275922206721', 'retweet_count': 204, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",0084B4,FALSE,,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,,http://pbs.twimg.com/profile_images/1258982988781506561/hz5gbQYa_normal.jpg,https://pbs.twimg.com/profile_banners/116994659/1422118883
vitalik.eth,VitalikButerin,"1,071,002","{'url': {'urls': [{'url': 'http://t.co/yDFD4r4WXU', 'expanded_url': 'http://vitalik.ca', 'display_url': 'vitalik.ca', 'indices': [0, 22]}]}, 'description': {'urls': [{'url': 'https://t.co/eWtxVOJRFR', 'expanded_url': 'https://www.nickbostrom.com/fable/dragon.html', 'display_url': 'nickbostrom.com/fable/dragon.h…', 'indices': [69, 92]}]}}",TRUE,FALSE,FALSE,295218901,https://pbs.twimg.com/profile_images/977496875887558661/L86xyLF4_normal.jpg,FALSE,,TRUE,C0DEED,FALSE,"Ethereum.

Fable of the Dragon Tyrant (not mine but it's important):
https://t.co/eWtxVOJRFR

Daylight savings time delenda est.",C0DEED,333333,,https://abs.twimg.com/images/themes/theme1/bg.png,4854,http://t.co/yDFD4r4WXU,FALSE,Sun May 08 16:03:03 +0000 2011,FALSE,,TRUE,195,,Earth,,295218901,,16775,TRUE,none,,12253,"{'created_at': 'Tue Jan 12 07:28:04 +0000 2021', 'id': 1348894498856660992, 'id_str': '1348894498856660992', 'text': ""This is a dangerous moment in a lot of ways, but there's a lot of work to be done!"", 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': 1348894495329320960, 'in_reply_to_status_id_str': '1348894495329320960', 'in_reply_to_user_id': 295218901, 'in_reply_to_user_id_str': '295218901', 'in_reply_to_screen_name': 'VitalikButerin', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 58, 'favorite_count': 1020, 'favorited': False, 'retweeted': False, 'lang': 'en'}",1DA1F2,FALSE,,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,,http://pbs.twimg.com/profile_images/977496875887558661/L86xyLF4_normal.jpg,https://pbs.twimg.com/profile_banners/295218901/1469015022
Matthew Yglesias 🍦,mattyglesias,"495,660","{'url': {'urls': [{'url': 'https://t.co/YjoFHagDkz', 'expanded_url': 'https://www.slowboring.com', 'display_url': 'slowboring.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",TRUE,FALSE,FALSE,15446531,https://pbs.twimg.com/profile_images/1345926625280593926/PrecB2Py_normal.jpg,FALSE,,TRUE,ABB8C2,TRUE,"Writer and editor, Slow Boring. Senior Fellow, Niskanen Center. Host of The Weeds. Essential media worker. These tweets are worth what you pay for them.",C0DEED,333333,,https://abs.twimg.com/images/themes/theme18/bg.gif,25277,https://t.co/YjoFHagDkz,FALSE,Tue Jul 15 21:44:28 +0000 2008,FALSE,,FALSE,1140,,"Washington, DC",,15446531,,5629,FALSE,none,,11482,"{'created_at': 'Sat Jan 16 01:32:10 +0000 2021', 'id': 1350254485139030018, 'id_str': '1350254485139030018', 'text': 'What’s the deal with the AMLO heel turn since he won? https://t.co/c8MsReXZls', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/c8MsReXZls', 'expanded_url': 'https://twitter.com/ap/status/1349877223289925634', 'display_url': 'twitter.com/ap/status/1349…', 'indices': [54, 77]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': {'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]}, 'attributes': {}}, 'contributors': None, 'is_quote_status': True, 'quoted_status_id': 1349877223289925634, 'quoted_status_id_str': '1349877223289925634', 'retweet_count': 5, 'favorite_count': 105, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",89C9FA,FALSE,,DDEEF6,http://abs.twimg.com/images/themes/theme18/bg.gif,,http://pbs.twimg.com/profile_images/1345926625280593926/PrecB2Py_normal.jpg,https://pbs.twimg.com/profile_banners/15446531/1605237927
Bret Weinstein,BretWeinstein,"422,938","{'url': {'urls': [{'url': 'https://t.co/Yy9q7bB8Jm', 'expanded_url': 'http://youtube.com/BretWeinsteinDarkHorse', 'display_url': 'youtube.com/BretWeinsteinD…', 'indices': [0, 23]}]}, 'description': {'urls': []}}",TRUE,FALSE,FALSE,78683448,https://pbs.twimg.com/profile_images/931641662538792961/h4d0n-Mr_normal.jpg,FALSE,,FALSE,0,TRUE,DarkHorse Podcast. Professor in Exile. Evolutionary Trade-Offs. Telomeres. Emoticons imply irony. Reluctant Radical. Game~B/Fourth Frontier #Unity2020,0,0,,https://abs.twimg.com/images/themes/theme14/bg.gif,8647,https://t.co/Yy9q7bB8Jm,FALSE,Wed Sep 30 19:10:22 +0000 2009,FALSE,,TRUE,848,,"Oregon, USA",,78683448,,9551,FALSE,none,,2474,"{'created_at': 'Sat Jan 16 01:00:33 +0000 2021', 'id': 1350246528896491522, 'id_str': '1350246528896491522', 'text': ""@Ayjchan @CharlieSand3rs @angie_rasmussen @ydeigin This is true, and I'm sorry for that was ambiguous to anyone.… https://t.co/KgLSfMD2vv"", 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ayjchan', 'name': 'Alina Chan', 'id': 431762931, 'id_str': '431762931', 'indices': [0, 8]}, {'screen_name': 'CharlieSand3rs', 'name': 'Charlie Sanders', 'id': 2191090346, 'id_str': '2191090346', 'indices': [9, 24]}, {'screen_name': 'angie_rasmussen', 'name': 'Dr. Angela Rasmussen', 'id': 394087611, 'id_str': '394087611', 'indices': [25, 41]}, {'screen_name': 'ydeigin', 'name': 'Yuri Deigin', 'id': 212102442, 'id_str': '212102442', 'indices': [42, 50]}], 'urls': [{'url': 'https://t.co/KgLSfMD2vv', 'expanded_url': 'https://twitter.com/i/web/status/1350246528896491522', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': 1350233961444888579, 'in_reply_to_status_id_str': '1350233961444888579', 'in_reply_to_user_id': 431762931, 'in_reply_to_user_id_str': '431762931', 'in_reply_to_screen_name': 'Ayjchan', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 9, 'favorited': False, 'retweeted': False, 'lang': 'en'}",ABB8C2,FALSE,,0,http://abs.twimg.com/images/themes/theme14/bg.gif,,http://pbs.twimg.com/profile_images/931641662538792961/h4d0n-Mr_normal.jpg,https://pbs.twimg.com/profile_banners/78683448/1504279322
The Daily Galaxy,dailygalaxy,"360,105","{'url': {'urls': [{'url': 'http://t.co/3QczuaIQRH', 'expanded_url': 'http://www.dailygalaxy.com/', 'display_url': 'dailygalaxy.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}",FALSE,FALSE,FALSE,14702533,https://pbs.twimg.com/profile_images/707625542976057344/kg6a9cYg_normal.jpg,FALSE,,TRUE,FFFFFF,FALSE,Great Discoveries Channel,6A90CE,0,,https://abs.twimg.com/images/themes/theme9/bg.gif,979,http://t.co/3QczuaIQRH,FALSE,Thu May 08 16:50:12 +0000 2008,FALSE,,FALSE,9942,,USA/Silicon Valley,,14702533,,21009,FALSE,none,,4624,"{'created_at': 'Fri Jan 15 20:36:04 +0000 2021', 'id': 1350179969733861378, 'id_str': '1350179969733861378', 'text': 'The Galaxy Report --""Extremely Boring Aliens to The Doctor Carl Sagan Warned Us About"" (Weekend Feature)\nhttps://t.co/Vz5kspNtKH', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Vz5kspNtKH', 'expanded_url': 'https://dailygalaxy.com/2021/01/the-galaxy-report-extremely-boring-aliens-to-the-doctor-carl-sagan-warned-us-about/#sciencenews', 'display_url': 'dailygalaxy.com/2021/01/the-ga…', 'indices': [105, 128]}]}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 2, 'favorite_count': 8, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",0000FF,FALSE,,6A90CE,http://abs.twimg.com/images/themes/theme9/bg.gif,,http://pbs.twimg.com/profile_images/707625542976057344/kg6a9cYg_normal.jpg,https://pbs.twimg.com/profile_banners/14702533/1501777685
Bridget Phetasy,BridgetPhetasy,"261,022","{'url': {'urls': [{'url': 'https://t.co/V5mhJRCthr', 'expanded_url': 'http://phetasy.com', 'display_url': 'phetasy.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",TRUE,FALSE,FALSE,15567770,https://pbs.twimg.com/profile_images/1291407919557144578/u3ZpEOwB_normal.jpg,FALSE,,FALSE,0,FALSE,Verified nobody. My tribe is tribeless. Find another hero.,0,0,,https://abs.twimg.com/images/themes/theme1/bg.png,225765,https://t.co/V5mhJRCthr,FALSE,Wed Jul 23 17:29:33 +0000 2008,FALSE,,TRUE,6804,,"Los Angeles, CA",,15567770,,35269,FALSE,none,,1368,"{'created_at': 'Fri Jan 15 20:44:34 +0000 2021', 'id': 1350182106710769668, 'id_str': '1350182106710769668', 'text': 'Great time with my friend @SirajAHashmi talking about all the things. https://t.co/RyOXho5uuB', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SirajAHashmi', 'name': 'Siraj Hashmi', 'id': 1129762164, 'id_str': '1129762164', 'indices': [26, 39]}], 'urls': [{'url': 'https://t.co/RyOXho5uuB', 'expanded_url': 'https://twitter.com/SirajAHashmi/status/1350162406668955649', 'display_url': 'twitter.com/SirajAHashmi/s…', 'indices': [70, 93]}]}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': True, 'quoted_status_id': 1350162406668955649, 'quoted_status_id_str': '1350162406668955649', 'retweet_count': 11, 'favorite_count': 117, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",E81C4F,FALSE,,0,http://abs.twimg.com/images/themes/theme1/bg.png,,http://pbs.twimg.com/profile_images/1291407919557144578/u3ZpEOwB_normal.jpg,https://pbs.twimg.com/profile_banners/15567770/1560985504
Max Roser,MaxCRoser,"240,867","{'url': {'urls': [{'url': 'https://t.co/6f83FQHSDg', 'expanded_url': 'http://OurWorldInData.org', 'display_url': 'OurWorldInData.org', 'indices': [0, 23]}]}, 'description': {'urls': []}}",TRUE,FALSE,FALSE,610659001,https://pbs.twimg.com/profile_images/1253298247222939649/SoK3GsLv_normal.jpg,FALSE,,FALSE,444F70,TRUE,"Data to understand the big global problems and research that helps to make progress against them.
• @UniOfOxford researcher
• @OurWorldInData founder",FAEF89,97B1FF,,https://abs.twimg.com/images/themes/theme1/bg.png,29373,https://t.co/6f83FQHSDg,FALSE,Sun Jun 17 09:15:11 +0000 2012,FALSE,,TRUE,1210,,Oxford,,610659001,,14865,FALSE,none,,5619,"{'created_at': 'Sat Jan 16 00:03:27 +0000 2021', 'id': 1350232159861288960, 'id_str': '1350232159861288960', 'text': '""We are in a war against COVID … If we work hard now, we can create the spare capacity and the production and distr… https://t.co/uIK2N5yjgZ', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uIK2N5yjgZ', 'expanded_url': 'https://twitter.com/i/web/status/1350232159861288960', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 14, 'favorite_count': 54, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",495A87,FALSE,,D9D6BF,http://abs.twimg.com/images/themes/theme1/bg.png,,http://pbs.twimg.com/profile_images/1253298247222939649/SoK3GsLv_normal.jpg,https://pbs.twimg.com/profile_banners/610659001/1586215018
Marc Lipsitch,mlipsitch,"222,947","{'url': {'urls': [{'url': 'http://t.co/w36Q2xMUOk', 'expanded_url': 'http://www.hsph.harvard.edu/faculty/marc-lipsitch/', 'display_url': 'hsph.harvard.edu/faculty/marc-l…', 'indices': [0, 22]}]}, 'description': {'urls': []}}",TRUE,FALSE,FALSE,75937326,https://pbs.twimg.com/profile_images/437266123029901312/3sTkBOCO_normal.jpeg,FALSE,,TRUE,C0DEED,TRUE,"Infectious disease epidemiologist and microbiologist, aspirational barista.     
mlipsitc@hsph.harvard.edu Director @CCDD_HSPH",C0DEED,333333,,https://abs.twimg.com/images/themes/theme1/bg.png,3576,http://t.co/w36Q2xMUOk,FALSE,Mon Sep 21 02:23:41 +0000 2009,FALSE,,FALSE,1627,,"Boston, MA",,75937326,,9918,TRUE,none,,5320,"{'created_at': 'Sat Jan 16 00:51:43 +0000 2021', 'id': 1350244304439160833, 'id_str': '1350244304439160833', 'text': 'This Administration’s cynicism and mendacity know no bounds. https://t.co/03tlkLuGNu', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/03tlkLuGNu', 'expanded_url': 'https://twitter.com/bylenasun/status/1350097111224901634', 'display_url': 'twitter.com/bylenasun/stat…', 'indices': [61, 84]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': True, 'quoted_status_id': 1350097111224901634, 'quoted_status_id_str': '1350097111224901634', 'retweet_count': 21, 'favorite_count': 98, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",1DA1F2,FALSE,,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,,http://pbs.twimg.com/profile_images/437266123029901312/3sTkBOCO_normal.jpeg,https://pbs.twimg.com/profile_banners/75937326/1584759307
Tobi Lutke 🌳🌲🛒🕹,tobi,"174,745","{'url': {'urls': [{'url': 'https://t.co/mLucA2HlCg', 'expanded_url': 'http://tobi.lutke.com', 'display_url': 'tobi.lutke.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",TRUE,FALSE,FALSE,676573,https://pbs.twimg.com/profile_images/1334615192051789828/kLUeSvAn_normal.jpg,FALSE,,TRUE,22330,TRUE,"@Shopify CEO by day, Dad in the evening, hacker at night. - Rails alumni; Comprehensivist. I like video games. (All tweets auto delete after 1y)",A8C7F7,333333,,https://abs.twimg.com/images/themes/theme15/bg.png,3503,https://t.co/mLucA2HlCg,FALSE,Sun Jan 21 20:23:15 +0000 2007,FALSE,,FALSE,1678,,Canada,,676573,,4232,FALSE,none,,2512,"{'created_at': 'Sat Jan 16 00:06:57 +0000 2021', 'id': 1350233038052093952, 'id_str': '1350233038052093952', 'text': 'Have there been any rigorous attempts to explain why Parkinson’s Law is true?', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 4, 'favorite_count': 69, 'favorited': False, 'retweeted': False, 'lang': 'en'}",0084B4,FALSE,,C0DFEC,http://abs.twimg.com/images/themes/theme15/bg.png,,http://pbs.twimg.com/profile_images/1334615192051789828/kLUeSvAn_normal.jpg,https://pbs.twimg.com/profile_banners/676573/1610140013
Liv Boeree,Liv_Boeree,"159,994","{'url': {'urls': [{'url': 'https://t.co/AkBhIY2JBQ', 'expanded_url': 'https://www.youtube.com/user/LivBoeree?sub_confirmation=1', 'display_url': 'youtube.com/user/LivBoeree…', 'indices': [0, 23]}]}, 'description': {'urls': []}}",TRUE,FALSE,FALSE,25422302,https://pbs.twimg.com/profile_images/1327747246171910145/HZN7XMzZ_normal.jpg,FALSE,,TRUE,94D487,TRUE,"Physics and game theory nut. I do youtube now, subscribe immediately:",FFFFFF,666666,,https://abs.twimg.com/images/themes/theme9/bg.gif,11706,https://t.co/AkBhIY2JBQ,FALSE,Fri Mar 20 00:40:42 +0000 2009,TRUE,,FALSE,417,,,,25422302,,15021,FALSE,none,,2015,"{'created_at': 'Sat Jan 16 00:32:11 +0000 2021', 'id': 1350239391009091588, 'id_str': '1350239391009091588', 'text': 'RT @waitbutwhy: The political spectrum is a proxy for lots of different spectrums. A common one is our beliefs around change. The question…', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'waitbutwhy', 'name': 'Tim Urban', 'id': 1282121312, 'id_str': '1282121312', 'indices': [3, 14]}], 'urls': []}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Fri Jan 15 22:27:19 +0000 2021', 'id': 1350207964506947586, 'id_str': '1350207964506947586', 'text': 'The political spectrum is a proxy for lots of different spectrums. A common one is our beliefs around change. The q… https://t.co/swyp9HqY28', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/swyp9HqY28', 'expanded_url': 'https://twitter.com/i/web/status/1350207964506947586', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 83, 'favorite_count': 518, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 83, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",4A913C,FALSE,,252429,http://abs.twimg.com/images/themes/theme9/bg.gif,,http://pbs.twimg.com/profile_images/1327747246171910145/HZN7XMzZ_normal.jpg,https://pbs.twimg.com/profile_banners/25422302/1607361649
