Most GWWC-Aligned Users
waitbutwhy (1282121312): 0.04397162637156938
JonHaidt (106204123): 0.03697045713307597
ezraklein (18622869): 0.03420247424196273
JamesClear (226428094): 0.02790369288742051
humansofny (237548529): 0.026306558126888265
TEDchris (14761795): 0.02613035758293675
paulg (183749519): 0.025676810069347276
sama (1605): 0.025240488658055067
NateSilver538 (16017475): 0.022081675518628156
tferriss (11740902): 0.021793414312378877
jordanbpeterson (95092020): 0.0212305712666402
chamath (3291691): 0.021078968564042212
brian_armstrong (14379660): 0.02040066760049823
THamamsy (1016184993595342849): 0.020218349897586294
ryanavent (17142046): 0.01945652951738859
MicaelOl (333913784): 0.019422008487279173
justinsuntron (902839045356744704): 0.019283263308832795
sacca (586): 0.019153829883696905
timoreilly (2384071): 0.018225713096953457
Nouriel (19224439): 0.018215680051906692
chrislhayes (4207961): 0.018143273653601435
NickKristof (17004618): 0.018047537069360308
FEhrsam (315991624): 0.0178432666024097
bhorowitz (16242081): 0.01755414283962452
Ayaan (15912890): 0.01746628538048652

