Most Central Users
BarackObama (813286): 0.10170543899969806
jimmyfallon (15485441): 0.0800030323546599
nytimes (807095): 0.07206638901045219
TheEllenShow (15846407): 0.07121654891364855
JoeBiden (939091): 0.06515205634678256
KamalaHarris (30354991): 0.06387449821095052
Lin_Manuel (79923701): 0.058349047693495554
johnlegend (18228898): 0.0581492500761891
StephenAtHome (16303106): 0.057904366095767115
MichelleObama (409486555): 0.057833164554012564
Oprah (19397785): 0.057371401798307
SarahKSilverman (30364057): 0.056907569080542696
HillaryClinton (1339835893): 0.056787988569584204
AOC (138203134): 0.05657342105481899
maddow (16129920): 0.0555361606873336
chrissyteigen (39364684): 0.05550604158963883
jimmykimmel (26053643): 0.05516751735228383
jaketapper (14529929): 0.054456199046747235
ConanOBrien (115485051): 0.05407715976213828
ava (14982804): 0.05344320507867786
elonmusk (44196397): 0.05305187304954113
pattonoswalt (139162440): 0.05205173291025926
SteveMartinToGo (14824849): 0.051699700446518754
ladygaga (14230524): 0.0515675920510606
CoryBooker (15808765): 0.05144469567334818

