Most Valuable Users
ezraklein (18622869): 0.0013899537315854244
NateSilver538 (16017475): 0.0009477500276609506
chrislhayes (4207961): 0.000687854318983357
jonfavs (130496027): 0.0006595275607381723
johnlegend (18228898): 0.000653031737933565
JuddApatow (88749392): 0.0006494499468306984
NickKristof (17004618): 0.000640736980507459
jack (12): 0.0005562957378792003
BillGates (50393960): 0.0005315434358327523
SarahKSilverman (30364057): 0.0005260823148502857
TheAtlantic (35773039): 0.0005106725077131648
sethmeyers (44039298): 0.0005036777144798169
AOC (138203134): 0.0005028662806088485
TheDailyShow (158414847): 0.0005027761520925451
elonmusk (44196397): 0.0004969232794313889
ChelseaClinton (757303975): 0.00046751778072161326
maddow (16129920): 0.00046519373245442814
karaswisher (5763262): 0.00044920888814508383
sacca (586): 0.00043629721958252045
PreetBharara (834081571493785600): 0.00043319188014821655
jimmykimmel (26053643): 0.0004202998921155467
RedHourBen (62290422): 0.00039335558346514297
aplusk (19058681): 0.0003840645987545142
davidfrum (18686907): 0.00037601899678099335
ASlavitt (1383272101): 0.00037381500639264813

